mondo_id	source_id	source
ID	A oboInOwl:hasDbXref	>A oboInOwl:source
MONDO:0003998	NCIT:C40257	MONDO:equivalentObsolete
MONDO:0004204	NCIT:C4462	MONDO:equivalentObsolete
MONDO:0004419	NCIT:C39822	MONDO:equivalentObsolete
MONDO:0004819	NCIT:C7150	MONDO:equivalentObsolete
MONDO:0005065	NCIT:C3234	MONDO:equivalentObsolete
MONDO:0005362	NCIT:C34801	MONDO:equivalentObsolete
MONDO:0015040	NCIT:C7167	MONDO:equivalentObsolete
MONDO:0017308	NCIT:C75007	MONDO:equivalentObsolete
MONDO:0020804	NCIT:C7586	MONDO:equivalentObsolete
MONDO:0020805	NCIT:C4743	MONDO:equivalentObsolete
MONDO:0020842	NCIT:C8998	MONDO:equivalentObsolete
