mondo_id	mondo_label	synonym_scope	synonym_scope_mondo	synonym	synonym_exact	synonym_broad	synonym_narrow	synonym_related	source_id	source_label	synonym_type	synonym_type_mondo	mondo_evidence	case
ID					A oboInOwl:hasExactSynonym	A oboInOwl:hasBroadSynonym	A oboInOwl:hasNarrowSynonym	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref		>AI oboInOwl:hasSynonymType SPLIT=|			
MONDO:0000462	eye adnexa disorder	oio:hasExactSynonym		Disorders of eyelid, lacrimal system and orbit	Disorders of eyelid, lacrimal system and orbit				ICD10WHO:H00-H06	Disorders of eyelid, lacrimal system and orbit				
MONDO:0001609	agranulocytosis	oio:hasExactSynonym		Agranulocytosis	Agranulocytosis				ICD10WHO:D70	Agranulocytosis				
MONDO:0003150	male reproductive system disorder	oio:hasExactSynonym		Diseases of male genital organs	Diseases of male genital organs				ICD10WHO:N40-N51	Diseases of male genital organs				
MONDO:0004359	delusional disorder	oio:hasExactSynonym		Delusional disorder	Delusional disorder				ICD10WHO:F22.0	Delusional disorder				
MONDO:0005066	metabolic disease	oio:hasExactSynonym		Metabolic disorders	Metabolic disorders				ICD10WHO:E70-E90	Metabolic disorders				
MONDO:0005165	benign neoplasm	oio:hasExactSynonym		Benign neoplasms	Benign neoplasms				ICD10WHO:D10-D36	Benign neoplasms				
MONDO:0006672	balanitis	oio:hasExactSynonym		Balanoposthitis	Balanoposthitis				ICD10WHO:N48.1	Balanoposthitis				
MONDO:0007028	rotator cuff syndrome	oio:hasExactSynonym		Rotator cuff syndrome	Rotator cuff syndrome				ICD10WHO:M75.1	Rotator cuff syndrome				
MONDO:0013600	insomnia	oio:hasExactSynonym		Disorders of initiating and maintaining sleep [insomnias]	Disorders of initiating and maintaining sleep [insomnias]				ICD10WHO:G47.0	Disorders of initiating and maintaining sleep [insomnias]				
MONDO:0013600	insomnia	oio:hasExactSynonym		disorders of initiating and maintaining sleep	disorders of initiating and maintaining sleep				ICD10WHO:G47.0	Disorders of initiating and maintaining sleep [insomnias]	http://purl.obolibrary.org/obo/mondo#GENERATED			
MONDO:0015079	multiple polyglandular tumor	oio:hasExactSynonym		Neoplasm of uncertain or unknown behaviour: Pluriglandular involvement	Neoplasm of uncertain or unknown behaviour: Pluriglandular involvement				ICD10WHO:D44.8	Neoplasm of uncertain or unknown behaviour: Pluriglandular involvement				
MONDO:0021645	esophageal varices with bleeding	oio:hasExactSynonym		Oesophageal varices with bleeding	Oesophageal varices with bleeding				ICD10WHO:I85.0	Oesophageal varices with bleeding				
MONDO:0024318	viral infection of central nervous system	oio:hasExactSynonym		Viral infections of the central nervous system	Viral infections of the central nervous system				ICD10WHO:A80-A89	Viral infections of the central nervous system				
