mondo_id	mondo_label	synonym_scope	synonym_scope_mondo	synonym	synonym_exact	synonym_broad	synonym_narrow	synonym_related	source_id	source_label	synonym_type	synonym_type_mondo	mondo_evidence	case
ID					A oboInOwl:hasExactSynonym	A oboInOwl:hasBroadSynonym	A oboInOwl:hasNarrowSynonym	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref		>AI oboInOwl:hasSynonymType SPLIT=|			
MONDO:0000001	disease	oio:hasExactSynonym		condition	condition				NCIT:C2991	Disease or Disorder				
MONDO:0000001	disease	oio:hasExactSynonym		disease	disease				NCIT:C2991	Disease or Disorder				
MONDO:0000001	disease	oio:hasExactSynonym		disease	disease				NCIT:C2991	Disease or Disorder				
MONDO:0000001	disease	oio:hasExactSynonym		disease or disorder	disease or disorder				NCIT:C2991	Disease or Disorder				
MONDO:0000001	disease	oio:hasExactSynonym		disease or disorder, non-neoplastic	disease or disorder, non-neoplastic				NCIT:C2991	Disease or Disorder				
MONDO:0000001	disease	oio:hasExactSynonym		diseases	diseases				NCIT:C2991	Disease or Disorder				
MONDO:0000001	disease	oio:hasExactSynonym		diseases and disorders	diseases and disorders				NCIT:C2991	Disease or Disorder				
MONDO:0000001	disease	oio:hasExactSynonym		disorder	disorder				NCIT:C2991	Disease or Disorder				
MONDO:0000001	disease	oio:hasExactSynonym		disorders	disorders				NCIT:C2991	Disease or Disorder				
MONDO:0000001	disease	oio:hasExactSynonym		other disease	other disease				NCIT:C2991	Disease or Disorder				
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym		adrenal cortical hypofunction	adrenal cortical hypofunction				NCIT:C26691	Adrenocortical Insufficiency				
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym		adrenal cortical insufficiency	adrenal cortical insufficiency				NCIT:C26691	Adrenocortical Insufficiency				
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym		adrenal gland insufficiency	adrenal gland insufficiency				NCIT:C26691	Adrenocortical Insufficiency				
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym		adrenal insufficiency	adrenal insufficiency				NCIT:C26691	Adrenocortical Insufficiency				
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym		adrenocortical insufficiency	adrenocortical insufficiency				NCIT:C26691	Adrenocortical Insufficiency				
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym		hypocortisolemia	hypocortisolemia				NCIT:C26691	Adrenocortical Insufficiency				
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym		hypocortisolism	hypocortisolism				NCIT:C26691	Adrenocortical Insufficiency				
MONDO:0000022	nocturnal enuresis	oio:hasExactSynonym		bedwetting	bedwetting				NCIT:C118172	Nocturnal Enuresis				
MONDO:0000022	nocturnal enuresis	oio:hasExactSynonym		sleep enuresis	sleep enuresis				NCIT:C118172	Nocturnal Enuresis				
MONDO:0000088	precocious puberty	oio:hasExactSynonym		sexual precocity	sexual precocity				NCIT:C79704	Precocious Puberty				
MONDO:0000115	Chiari malformation	oio:hasExactSynonym		(Arnold) Chiari malformation	(Arnold) Chiari malformation				NCIT:C84570	Arnold-Chiari Malformation				
MONDO:0000115	Chiari malformation	oio:hasExactSynonym		Arnold-Chiari malformation	Arnold-Chiari malformation				NCIT:C84570	Arnold-Chiari Malformation				
MONDO:0000115	Chiari malformation	oio:hasExactSynonym		Chiari malformation	Chiari malformation				NCIT:C84570	Arnold-Chiari Malformation				
MONDO:0000141	mosaic variegated aneuploidy syndrome	oio:hasExactSynonym		Mosaic variegated aneuploidy syndrome 1	Mosaic variegated aneuploidy syndrome 1				NCIT:C128192	Mosaic Variegated Aneuploidy Syndrome 1				
MONDO:0000141	mosaic variegated aneuploidy syndrome	oio:hasExactSynonym		MVA1	MVA1				NCIT:C128192	Mosaic Variegated Aneuploidy Syndrome 1	http://purl.obolibrary.org/obo/mondo#ABBREVIATION	http://purl.obolibrary.org/obo/mondo#ABBREVIATION		
MONDO:0000147	polyposis	oio:hasExactSynonym		multiple polyps	multiple polyps				NCIT:C4089	Polyposis				
MONDO:0000147	polyposis	oio:hasExactSynonym		polyposis	polyposis				NCIT:C4089	Polyposis				
MONDO:0000153	transposition of the great arteries	oio:hasExactSynonym		great vessels transposition	great vessels transposition				NCIT:C84742	Transposition of Great Vessels				
MONDO:0000153	transposition of the great arteries	oio:hasExactSynonym		transposition of great vessels	transposition of great vessels				NCIT:C84742	Transposition of Great Vessels				
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	oio:hasExactSynonym		Walker-Warburg muscular dystrophy	Walker-Warburg muscular dystrophy				NCIT:C99109	Walker-Warburg Syndrome				
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	oio:hasExactSynonym		Walker-Warburg syndrome	Walker-Warburg syndrome				NCIT:C99109	Walker-Warburg Syndrome				
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	oio:hasExactSynonym		WWS	WWS				NCIT:C99109	Walker-Warburg Syndrome	http://purl.obolibrary.org/obo/mondo#ABBREVIATION	http://purl.obolibrary.org/obo/mondo#ABBREVIATION		
MONDO:0000179	Neu-Laxova syndrome	oio:hasExactSynonym		nuclear localization signal	nuclear localization signal				NCIT:C14089	Nuclear Localization Signal				
MONDO:0000190	ventricular fibrillation	oio:hasExactSynonym		VFib	VFib				NCIT:C50799	Ventricular Fibrillation				
