mondo_id	ordo_id	subset	mondo_label	ordo_label
ID	A oboInOwl:hasDbXref	A oboInOwl:inSubset		
MONDO:0000001	Orphanet:377788	http://purl.obolibrary.org/obo/mondo#ordo_disease	disease	disease
MONDO:0000023	Orphanet:464724	http://purl.obolibrary.org/obo/mondo#ordo_disease	infantile liver failure	Fever-associated acute infantile liver failure syndrome
MONDO:0000044	Orphanet:437	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	hereditary hypophosphatemic rickets	Hypophosphatemic rickets
MONDO:0000050	Orphanet:631	http://purl.obolibrary.org/obo/mondo#ordo_disease	isolated congenital growth hormone deficiency	Non-acquired isolated growth hormone deficiency
MONDO:0000087	Orphanet:35981	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	polymicrogyria	Polymicrogyria
MONDO:0000088	Orphanet:95708	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	precocious puberty	Rare precocious puberty
MONDO:0000107	Orphanet:137888	http://purl.obolibrary.org/obo/mondo#ordo_disease	auriculocondylar syndrome	Auriculocondylar syndrome
MONDO:0000110	Orphanet:2695	http://purl.obolibrary.org/obo/mondo#ordo_disease	bifid nose	Bifid nose
MONDO:0000127	Orphanet:2623	http://purl.obolibrary.org/obo/mondo#ordo_disease	geleophysic dysplasia	Geleophysic dysplasia
MONDO:0000133	Orphanet:2268	http://purl.obolibrary.org/obo/mondo#ordo_disease	immunodeficiency-centromeric instability-facial anomalies syndrome	ICF syndrome
MONDO:0000136	Orphanet:2340	http://purl.obolibrary.org/obo/mondo#ordo_disease	keratosis follicularis spinulosa decalvans	Keratosis follicularis spinulosa decalvans
MONDO:0000141	Orphanet:1052	http://purl.obolibrary.org/obo/mondo#ordo_disease	mosaic variegated aneuploidy syndrome	Mosaic variegated aneuploidy syndrome
MONDO:0000153	Orphanet:216675	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	transposition of the great arteries	Transposition of the great arteries
MONDO:0000170	Orphanet:98938	http://purl.obolibrary.org/obo/mondo#ordo_disease	microphthalmia, isolated, with coloboma	Colobomatous microphthalmia
MONDO:0000171	Orphanet:899	http://purl.obolibrary.org/obo/mondo#ordo_disease	muscular dystrophy-dystroglycanopathy, type A	Walker-Warburg syndrome
MONDO:0000179	Orphanet:2671	http://purl.obolibrary.org/obo/mondo#ordo_disease	Neu-Laxova syndrome	Neu-Laxova syndrome
MONDO:0000193	Orphanet:168588	http://purl.obolibrary.org/obo/mondo#ordo_disease	cortisone reductase deficiency	Hyperandrogenism due to cortisone reductase deficiency
MONDO:0000200	Orphanet:3473	http://purl.obolibrary.org/obo/mondo#ordo_disease	Zimmermann-Laband syndrome	Zimmermann-Laband syndrome
MONDO:0000209	Orphanet:486811	http://purl.obolibrary.org/obo/mondo#ordo_disease	prenatal-onset spinal muscular atrophy with congenital bone fractures	Prenatal-onset spinal muscular atrophy with congenital bone fractures
MONDO:0000211	Orphanet:228169	http://purl.obolibrary.org/obo/mondo#ordo_disease	striatal degeneration, autosomal dominant	Autosomal dominant striatal neurodegeneration
MONDO:0000212	Orphanet:300547	http://purl.obolibrary.org/obo/mondo#ordo_disease	hypercalcemia, infantile	Autosomal recessive infantile hypercalcemia
MONDO:0000330	Orphanet:83315	http://purl.obolibrary.org/obo/mondo#ordo_disease	endemic typhus	Murine typhus
MONDO:0000355	Orphanet:75840	http://purl.obolibrary.org/obo/mondo#ordo_disease	Ullrich congenital muscular dystrophy	Ullrich congenital muscular dystrophy
MONDO:0000437	Orphanet:102002	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	cerebellar ataxia	Rare ataxia
MONDO:0000447	Orphanet:2924	http://purl.obolibrary.org/obo/mondo#ordo_disease	autosomal dominant polycystic liver disease	Isolated polycystic liver disease
MONDO:0000453	Orphanet:51083	http://purl.obolibrary.org/obo/mondo#ordo_disease	short QT syndrome	Familial short QT syndrome
MONDO:0000455	Orphanet:1871	http://purl.obolibrary.org/obo/mondo#ordo_disease	cone dystrophy	Progressive cone dystrophy
MONDO:0000456	Orphanet:79172	http://purl.obolibrary.org/obo/mondo#ordo_group_of_disorders	cerebral creatine deficiency syndrome	Creatine deficiency syndrome
