mondo_id	mondo_label	xref	xref_source	original_label	definition	parents
ID	LABEL	A oboInOwl:hasDbXref	>A oboInOwl:source SPLIT=|		A IAO:0000115	SC %
MONDO:0850001	three vessel coronary disease	NCIT:C100020	MONDO:equivalentTo	Three Vessel Coronary Disease		MONDO:0000473
MONDO:0850002	two vessel coronary disease	NCIT:C100023	MONDO:equivalentTo	Two Vessel Coronary Disease		MONDO:0000473
MONDO:0850003	conjunctival melanocytic intraepithelial neoplasia	NCIT:C100054	MONDO:equivalentTo	Conjunctival Melanocytic Intraepithelial Neoplasia		MONDO:0020204
MONDO:0850004	ileal atresia	NCIT:C101026	MONDO:equivalentTo	Ileal Atresia		MONDO:0009476
MONDO:0850005	jejunal atresia	NCIT:C101027	MONDO:equivalentTo	Jejunal Atresia		MONDO:0009476
MONDO:0850006	complete atrioventricular canal defect balanced	NCIT:C101030	MONDO:equivalentTo	Complete Atrioventricular Canal Defect Balanced		MONDO:0020290
MONDO:0850007	complete atrioventricular canal defect unbalanced	NCIT:C101031	MONDO:equivalentTo	Complete Atrioventricular Canal Defect Unbalanced		MONDO:0020290
MONDO:0850008	retinopathy of prematurity with plus disease	NCIT:C101036	MONDO:equivalentTo	Retinopathy of Prematurity with Plus Disease		MONDO:0006952
MONDO:0850009	total colonic aganglionosis	NCIT:C101040	MONDO:equivalentTo	Total Colonic Aganglionosis		MONDO:0008738
MONDO:0850010	short segment hirschsprung disease	NCIT:C101041	MONDO:equivalentTo	Short Segment Hirschsprung Disease		MONDO:0018309
MONDO:0850011	dextro-transposition of the great vessels with intact ventricular septum	NCIT:C101185	MONDO:equivalentTo	Dextro-Transposition of the Great Vessels with Intact Ventricular Septum		MONDO:0000153
MONDO:0850012	dextro-transposition of the great vessels with ventricular septal defect	NCIT:C101186	MONDO:equivalentTo	Dextro-Transposition of the Great Vessels with Ventricular Septal Defect		MONDO:0000153
MONDO:0850013	bilateral microphthalmos	NCIT:C101189	MONDO:equivalentTo	Bilateral Microphthalmos		MONDO:0021129
MONDO:0850014	unilateral microphthalmos	NCIT:C101190	MONDO:equivalentTo	Unilateral Microphthalmos		MONDO:0021129
MONDO:0850015	bilateral cataracts	NCIT:C101193	MONDO:equivalentTo	Bilateral Cataracts		MONDO:0005129
MONDO:0850016	congenital ventricular tachycardia	NCIT:C101196	MONDO:equivalentTo	Congenital Ventricular Tachycardia		MONDO:0005477
MONDO:0850017	congenital facial nerve palsy	NCIT:C101198	MONDO:equivalentTo	Congenital Facial Nerve Palsy		MONDO:0002320|MONDO:0005665
MONDO:0850018	cervical myelomeningocele	NCIT:C101202	MONDO:equivalentTo	Cervical Myelomeningocele		MONDO:0017069
MONDO:0850019	lumbar myelomeningocele	NCIT:C101203	MONDO:equivalentTo	Lumbar Myelomeningocele		MONDO:0017069
MONDO:0850020	sacral myelomeningocele	NCIT:C101207	MONDO:equivalentTo	Sacral Myelomeningocele		MONDO:0017069
MONDO:0850021	thoracic myelomeningocele	NCIT:C101208	MONDO:equivalentTo	Thoracic Myelomeningocele		MONDO:0017069
MONDO:0850022	cervical meningocele	NCIT:C101210	MONDO:equivalentTo	Cervical Meningocele		MONDO:0001147
MONDO:0850023	lumbar meningocele	NCIT:C101211	MONDO:equivalentTo	Lumbar Meningocele		MONDO:0001147
MONDO:0850024	sacral meningocele	NCIT:C101212	MONDO:equivalentTo	Sacral Meningocele		MONDO:0001147
MONDO:0850025	thoracic meningocele	NCIT:C101213	MONDO:equivalentTo	Thoracic Meningocele		MONDO:0001147
MONDO:0850026	complete trisomy 21 syndrome	NCIT:C101222	MONDO:equivalentTo	Complete Trisomy 21 Syndrome		MONDO:0008608
MONDO:0850027	bilateral glaucoma	NCIT:C101228	MONDO:equivalentTo	Bilateral Glaucoma		MONDO:0005041
MONDO:0850028	suspected necrotizing enterocolitis	NCIT:C101273	MONDO:equivalentTo	Suspected Necrotizing Enterocolitis		MONDO:0005313
MONDO:0850029	facial nerve palsy related to trauma	NCIT:C101316	MONDO:equivalentTo	Facial Nerve Palsy Related to Trauma		MONDO:0005665
MONDO:0850030	neonatal drug withdrawal	NCIT:C101321	MONDO:equivalentTo	Neonatal Drug Withdrawal		MONDO:0005567
MONDO:0850031	complete atrioventricular septal defect with tetralogy of fallot	NCIT:C101322	MONDO:equivalentTo	Complete Atrioventricular Septal Defect with Tetralogy of Fallot		MONDO:0008542
MONDO:0850032	heterotaxy syndrome with polysplenia	NCIT:C101325	MONDO:equivalentTo	Heterotaxy Syndrome with Polysplenia		MONDO:0002254
MONDO:0850033	heterotaxy syndrome with asplenia	NCIT:C101326	MONDO:equivalentTo	Heterotaxy Syndrome with Asplenia		MONDO:0002254
MONDO:0850034	congenital malformation syndrome related to known exogenous cause	NCIT:C101329	MONDO:equivalentTo	Congenital Malformation Syndrome Related to Known Exogenous Cause		MONDO:0000839
MONDO:0850035	respiratory failure related to neuromuscular disorder	NCIT:C101331	MONDO:equivalentTo	Respiratory Failure Related to Neuromuscular Disorder		MONDO:0021113
MONDO:0850036	respiratory failure related to central nervous system disorder	NCIT:C101332	MONDO:equivalentTo	Respiratory Failure Related to Central Nervous System Disorder		MONDO:0021113
MONDO:0850037	coagulation disorder related to liver dysfunction	NCIT:C101333	MONDO:equivalentTo	Coagulation Disorder Related to Liver Dysfunction		MONDO:0001531
MONDO:0850038	complete trisomy 18 syndrome	NCIT:C101362	MONDO:equivalentTo	Complete Trisomy 18 Syndrome		MONDO:0002254
MONDO:0850039	lymphoid hyperplasia	NCIT:C102532	MONDO:equivalentTo	Lymphoid Hyperplasia		MONDO:0005043
MONDO:0850040	primary central nervous system neoplasm	NCIT:C102871	MONDO:equivalentTo	Primary Central Nervous System Neoplasm		MONDO:0006130
MONDO:0850041	systemic arterial hypertensive disorder	NCIT:C102954	MONDO:equivalentTo	Systemic Arterial Hypertensive Disorder		MONDO:0000473
MONDO:0850042	meconium peritonitis	NCIT:C102977	MONDO:equivalentTo	Meconium Peritonitis		MONDO:0004522
MONDO:0850043	postnatal drug withdrawal	NCIT:C103170	MONDO:equivalentTo	Postnatal Drug Withdrawal		MONDO:0005567
MONDO:0850044	congenital bleeding disorder	NCIT:C103172	MONDO:equivalentTo	Congenital Bleeding Disorder		MONDO:0001531|MONDO:0009332
MONDO:0850045	in utero drug withdrawal	NCIT:C103183	MONDO:equivalentTo	In Utero Drug Withdrawal		MONDO:0005567
MONDO:0850046	cystic fibrosis with meconium ileus	NCIT:C103233	MONDO:equivalentTo	Cystic Fibrosis with Meconium Ileus		MONDO:0009061
MONDO:0850047	congenital aortic arch hypoplasia	NCIT:C103266	MONDO:equivalentTo	Congenital Aortic Arch Hypoplasia		MONDO:0005561
MONDO:0850048	aids-related human papillomavirus infection	NCIT:C103296	MONDO:equivalentTo	AIDS-Related Human Papillomavirus Infection		MONDO:0024571|MONDO:0005161
MONDO:0850049	microcystic renal disease	NCIT:C103918	MONDO:equivalentTo	Microcystic Renal Disease		MONDO:0020642
MONDO:0850050	hemoglobin barts	NCIT:C103920	MONDO:equivalentTo	Hemoglobin Barts		MONDO:0015193|MONDO:0011399
