mondo_id	mondo_label	xref	xref_source	original_label	definition	parents
ID	LABEL	A oboInOwl:hasDbXref	>A oboInOwl:source SPLIT=|		A IAO:0000115	SC %
MONDO:0850001	cholera due to vibrio cholerae 01, biovar cholerae	ICD10CM:A00.0	MONDO:equivalentTo	Cholera due to Vibrio cholerae 01, biovar cholerae		MONDO:0015766
MONDO:0850002	cholera due to vibrio cholerae 01, biovar eltor	ICD10CM:A00.1	MONDO:equivalentTo	Cholera due to Vibrio cholerae 01, biovar eltor		MONDO:0015766
MONDO:0850003	cholera, unspecified	ICD10CM:A00.9	MONDO:equivalentTo	Cholera, unspecified		MONDO:0015766
MONDO:0850004	typhoid and paratyphoid fevers	ICD10CM:A01	MONDO:equivalentTo	Typhoid and paratyphoid fevers		MONDO:0000916
MONDO:0850005	other salmonella infections	ICD10CM:A02	MONDO:equivalentTo	Other salmonella infections		MONDO:0000916
MONDO:0850006	shigellosis due to shigella dysenteriae	ICD10CM:A03.0	MONDO:equivalentTo	Shigellosis due to Shigella dysenteriae		MONDO:0019345
MONDO:0850007	shigellosis due to shigella flexneri	ICD10CM:A03.1	MONDO:equivalentTo	Shigellosis due to Shigella flexneri		MONDO:0019345
MONDO:0850008	shigellosis due to shigella boydii	ICD10CM:A03.2	MONDO:equivalentTo	Shigellosis due to Shigella boydii		MONDO:0019345
MONDO:0850009	shigellosis due to shigella sonnei	ICD10CM:A03.3	MONDO:equivalentTo	Shigellosis due to Shigella sonnei		MONDO:0019345
MONDO:0850010	other shigellosis	ICD10CM:A03.8	MONDO:equivalentTo	Other shigellosis		MONDO:0019345
MONDO:0850011	shigellosis, unspecified	ICD10CM:A03.9	MONDO:equivalentTo	Shigellosis, unspecified		MONDO:0019345
MONDO:0850012	other bacterial intestinal infections	ICD10CM:A04	MONDO:equivalentTo	Other bacterial intestinal infections		MONDO:0000916
MONDO:0850013	other bacterial foodborne intoxications, not elsewhere classified	ICD10CM:A05	MONDO:equivalentTo	Other bacterial foodborne intoxications, not elsewhere classified		MONDO:0000916
MONDO:0850014	amebiasis	ICD10CM:A06	MONDO:equivalentTo	Amebiasis		MONDO:0000916
MONDO:0850015	other protozoal intestinal diseases	ICD10CM:A07	MONDO:equivalentTo	Other protozoal intestinal diseases		MONDO:0000916
MONDO:0850016	viral and other specified intestinal infections	ICD10CM:A08	MONDO:equivalentTo	Viral and other specified intestinal infections		MONDO:0000916
MONDO:0850017	infectious gastroenteritis and colitis, unspecified	ICD10CM:A09	MONDO:equivalentTo	Infectious gastroenteritis and colitis, unspecified		MONDO:0000916
MONDO:0850018	respiratory tuberculosis	ICD10CM:A15	MONDO:equivalentTo	Respiratory tuberculosis		MONDO:0018076
MONDO:0850019	tuberculosis of nervous system	ICD10CM:A17	MONDO:equivalentTo	Tuberculosis of nervous system		MONDO:0018076
MONDO:0850020	tuberculosis of other organs	ICD10CM:A18	MONDO:equivalentTo	Tuberculosis of other organs		MONDO:0018076
MONDO:0850021	acute miliary tuberculosis of a single specified site	ICD10CM:A19.0	MONDO:equivalentTo	Acute miliary tuberculosis of a single specified site		MONDO:0005848
MONDO:0850022	acute miliary tuberculosis of multiple sites	ICD10CM:A19.1	MONDO:equivalentTo	Acute miliary tuberculosis of multiple sites		MONDO:0005848
MONDO:0850023	acute miliary tuberculosis, unspecified	ICD10CM:A19.2	MONDO:equivalentTo	Acute miliary tuberculosis, unspecified		MONDO:0005848
MONDO:0850024	other miliary tuberculosis	ICD10CM:A19.8	MONDO:equivalentTo	Other miliary tuberculosis		MONDO:0005848
MONDO:0850025	miliary tuberculosis, unspecified	ICD10CM:A19.9	MONDO:equivalentTo	Miliary tuberculosis, unspecified		MONDO:0005848
MONDO:0850026	cellulocutaneous plague	ICD10CM:A20.1	MONDO:equivalentTo	Cellulocutaneous plague		MONDO:0019095
MONDO:0850027	plague meningitis	ICD10CM:A20.3	MONDO:equivalentTo	Plague meningitis		MONDO:0019095
MONDO:0850028	other forms of plague	ICD10CM:A20.8	MONDO:equivalentTo	Other forms of plague		MONDO:0019095
MONDO:0850029	plague, unspecified	ICD10CM:A20.9	MONDO:equivalentTo	Plague, unspecified		MONDO:0019095
MONDO:0850030	pulmonary tularemia	ICD10CM:A21.2	MONDO:equivalentTo	Pulmonary tularemia		MONDO:0018077
MONDO:0850031	generalized tularemia	ICD10CM:A21.7	MONDO:equivalentTo	Generalized tularemia		MONDO:0018077
MONDO:0850032	other forms of tularemia	ICD10CM:A21.8	MONDO:equivalentTo	Other forms of tularemia		MONDO:0018077
MONDO:0850033	tularemia, unspecified	ICD10CM:A21.9	MONDO:equivalentTo	Tularemia, unspecified		MONDO:0018077
MONDO:0850034	anthrax	ICD10CM:A22	MONDO:equivalentTo	Anthrax		MONDO:0044746
MONDO:0850035	brucellosis due to brucella melitensis	ICD10CM:A23.0	MONDO:equivalentTo	Brucellosis due to Brucella melitensis		MONDO:0005683
MONDO:0850036	brucellosis due to brucella abortus	ICD10CM:A23.1	MONDO:equivalentTo	Brucellosis due to Brucella abortus		MONDO:0005683
MONDO:0850037	brucellosis due to brucella suis	ICD10CM:A23.2	MONDO:equivalentTo	Brucellosis due to Brucella suis		MONDO:0005683
MONDO:0850038	brucellosis due to brucella canis	ICD10CM:A23.3	MONDO:equivalentTo	Brucellosis due to Brucella canis		MONDO:0005683
MONDO:0850039	other brucellosis	ICD10CM:A23.8	MONDO:equivalentTo	Other brucellosis		MONDO:0005683
MONDO:0850040	brucellosis, unspecified	ICD10CM:A23.9	MONDO:equivalentTo	Brucellosis, unspecified		MONDO:0005683
MONDO:0850041	glanders and melioidosis	ICD10CM:A24	MONDO:equivalentTo	Glanders and melioidosis		MONDO:0044746
MONDO:0850042	rat-bite fevers	ICD10CM:A25	MONDO:equivalentTo	Rat-bite fevers		MONDO:0044746
MONDO:0850043	cutaneous erysipeloid	ICD10CM:A26.0	MONDO:equivalentTo	Cutaneous erysipeloid		MONDO:0006752
MONDO:0850044	erysipelothrix sepsis	ICD10CM:A26.7	MONDO:equivalentTo	Erysipelothrix sepsis		MONDO:0006752
MONDO:0850045	other forms of erysipeloid	ICD10CM:A26.8	MONDO:equivalentTo	Other forms of erysipeloid		MONDO:0006752
MONDO:0850046	erysipeloid, unspecified	ICD10CM:A26.9	MONDO:equivalentTo	Erysipeloid, unspecified		MONDO:0006752
MONDO:0850047	leptospirosis icterohemorrhagica	ICD10CM:A27.0	MONDO:equivalentTo	Leptospirosis icterohemorrhagica		MONDO:0005825
MONDO:0850048	other forms of leptospirosis	ICD10CM:A27.8	MONDO:equivalentTo	Other forms of leptospirosis		MONDO:0005825
MONDO:0850049	leptospirosis, unspecified	ICD10CM:A27.9	MONDO:equivalentTo	Leptospirosis, unspecified		MONDO:0005825
MONDO:0850050	other zoonotic bacterial diseases, not elsewhere classified	ICD10CM:A28	MONDO:equivalentTo	Other zoonotic bacterial diseases, not elsewhere classified		MONDO:0044746
MONDO:0850051	other bacterial diseases (a30-a49)	ICD10CM:A30-A49	MONDO:equivalentTo	Other bacterial diseases (A30-A49)		MONDO:0005550
MONDO:0850052	borderline tuberculoid leprosy	ICD10CM:A30.2	MONDO:equivalentTo	Borderline tuberculoid leprosy		MONDO:0005124
MONDO:0850053	borderline lepromatous leprosy	ICD10CM:A30.4	MONDO:equivalentTo	Borderline lepromatous leprosy		MONDO:0005124
MONDO:0850054	other forms of leprosy	ICD10CM:A30.8	MONDO:equivalentTo	Other forms of leprosy		MONDO:0005124
MONDO:0850055	leprosy, unspecified	ICD10CM:A30.9	MONDO:equivalentTo	Leprosy, unspecified		MONDO:0005124
MONDO:0850056	cutaneous listeriosis	ICD10CM:A32.0	MONDO:equivalentTo	Cutaneous listeriosis		MONDO:0005828
MONDO:0850057	listerial meningitis and meningoencephalitis	ICD10CM:A32.1	MONDO:equivalentTo	Listerial meningitis and meningoencephalitis		MONDO:0005828
MONDO:0850058	listerial sepsis	ICD10CM:A32.7	MONDO:equivalentTo	Listerial sepsis		MONDO:0005828
MONDO:0850059	other forms of listeriosis	ICD10CM:A32.8	MONDO:equivalentTo	Other forms of listeriosis		MONDO:0005828
MONDO:0850060	listeriosis, unspecified	ICD10CM:A32.9	MONDO:equivalentTo	Listeriosis, unspecified		MONDO:0005828
MONDO:0850061	pharyngeal diphtheria	ICD10CM:A36.0	MONDO:equivalentTo	Pharyngeal diphtheria		MONDO:0005504
MONDO:0850062	nasopharyngeal diphtheria	ICD10CM:A36.1	MONDO:equivalentTo	Nasopharyngeal diphtheria		MONDO:0005504
MONDO:0850063	laryngeal diphtheria	ICD10CM:A36.2	MONDO:equivalentTo	Laryngeal diphtheria		MONDO:0005504
MONDO:0850064	other diphtheria	ICD10CM:A36.8	MONDO:equivalentTo	Other diphtheria		MONDO:0005504
MONDO:0850065	diphtheria, unspecified	ICD10CM:A36.9	MONDO:equivalentTo	Diphtheria, unspecified		MONDO:0005504
MONDO:0850066	whooping cough due to bordetella parapertussis without pneumonia	ICD10CM:A37.10	MONDO:equivalentTo	Whooping cough due to Bordetella parapertussis without pneumonia		MONDO:0001353
MONDO:0850067	whooping cough due to bordetella parapertussis with pneumonia	ICD10CM:A37.11	MONDO:equivalentTo	Whooping cough due to Bordetella parapertussis with pneumonia		MONDO:0001353
MONDO:0850068	scarlet fever with otitis media	ICD10CM:A38.0	MONDO:equivalentTo	Scarlet fever with otitis media		MONDO:0005952
MONDO:0850069	scarlet fever with myocarditis	ICD10CM:A38.1	MONDO:equivalentTo	Scarlet fever with myocarditis		MONDO:0005952
MONDO:0850070	scarlet fever with other complications	ICD10CM:A38.8	MONDO:equivalentTo	Scarlet fever with other complications		MONDO:0005952
MONDO:0850071	scarlet fever, uncomplicated	ICD10CM:A38.9	MONDO:equivalentTo	Scarlet fever, uncomplicated		MONDO:0005952
MONDO:0850072	acute meningococcemia	ICD10CM:A39.2	MONDO:equivalentTo	Acute meningococcemia		MONDO:0005373
MONDO:0850073	chronic meningococcemia	ICD10CM:A39.3	MONDO:equivalentTo	Chronic meningococcemia		MONDO:0005373
MONDO:0850074	meningococcemia, unspecified	ICD10CM:A39.4	MONDO:equivalentTo	Meningococcemia, unspecified		MONDO:0005373
MONDO:0850075	meningococcal heart disease	ICD10CM:A39.5	MONDO:equivalentTo	Meningococcal heart disease		MONDO:0005373
MONDO:0850076	other meningococcal infections	ICD10CM:A39.8	MONDO:equivalentTo	Other meningococcal infections		MONDO:0005373
MONDO:0850077	meningococcal infection, unspecified	ICD10CM:A39.9	MONDO:equivalentTo	Meningococcal infection, unspecified		MONDO:0005373
MONDO:0850078	pulmonary nocardiosis	ICD10CM:A43.0	MONDO:equivalentTo	Pulmonary nocardiosis		MONDO:0017776
MONDO:0850079	cutaneous nocardiosis	ICD10CM:A43.1	MONDO:equivalentTo	Cutaneous nocardiosis		MONDO:0017776
MONDO:0850080	other forms of nocardiosis	ICD10CM:A43.8	MONDO:equivalentTo	Other forms of nocardiosis		MONDO:0017776
