mondo_id	mondo_label	xref	xref_source	original_label	definition	parents
ID	LABEL	A oboInOwl:hasDbXref	>A oboInOwl:source SPLIT=|		A IAO:0000115	SC %
MONDO:0958392	reactive arthritis : ankle and foot	icd11.foundation:1006415661	MONDO:equivalentTo	Reactive arthritis : ankle and foot		
MONDO:0958458	reactive arthritis : forearm	icd11.foundation:1019178054	MONDO:equivalentTo	Reactive arthritis : forearm		
MONDO:0958692	intraspinal abscess	icd11.foundation:1060669448	MONDO:equivalentTo	Intraspinal abscess	A condition of the spine, caused by an infection with a bacterial, viral, or fungal source. This condition is characterized by a focal accumulation of purulent material within the spine (spinal cord, column, dural space, and the spinal meninges).	
MONDO:0959067	squamous cell carcinoma of unspecified urinary organ	icd11.foundation:113061321	MONDO:equivalentTo	Squamous cell carcinoma of unspecified urinary organ		
MONDO:0959114	other specified malignant neoplasms of vallecula	icd11.foundation:1141849774	MONDO:equivalentTo	Other specified malignant neoplasms of vallecula		
MONDO:0959119	carcinoma, intestinal type, unspecified site	icd11.foundation:1142793	MONDO:equivalentTo	Carcinoma, intestinal type, unspecified site		
MONDO:0959278	male hypoactive sexual desire dysfunction, acquired, situational	icd11.foundation:1167159036	MONDO:equivalentTo	Male hypoactive sexual desire dysfunction, acquired, situational	The onset of male hypoactive sexual desire dysfunction has followed a period of time during which the person did not experience it and the desired response is currently absent or diminished in some circumstances, with some partners, or in response to some stimuli, but not in other situations.	
MONDO:0959295	other keratoconjunctivitis	icd11.foundation:1169646518	MONDO:equivalentTo	Other keratoconjunctivitis		
MONDO:0959356	reactive arthritis : other	icd11.foundation:1184217711	MONDO:equivalentTo	Reactive arthritis : other		
MONDO:0959383	rheumatoid arthritis, unspecified, rheumatoid factor positive	icd11.foundation:1189260062	MONDO:equivalentTo	Rheumatoid arthritis, unspecified, rheumatoid factor positive		
MONDO:0959487	reactive arthritis : multiple sites	icd11.foundation:1209154745	MONDO:equivalentTo	Reactive arthritis : multiple sites		
MONDO:0959722	acute pancreatitis, unspecified, with local and systemic complication	icd11.foundation:1257698843	MONDO:equivalentTo	Acute pancreatitis, unspecified, with local and systemic complication	This is an inflammation of the pancreas with sudden onset that includes complications associated with the pancreas and those affecting the body more generally.	
MONDO:0959786	rheumatoid arthritis, unspecified, anti-citrullinated protein antibody positive	icd11.foundation:1269947647	MONDO:equivalentTo	Rheumatoid arthritis, unspecified, anti-citrullinated protein antibody positive		
MONDO:0959793	bacterial toxin-mediated acral and perineal exanthem	icd11.foundation:1272002051	MONDO:equivalentTo	Bacterial toxin-mediated acral and perineal exanthem	Erythema and desquamation affecting preferentially the hands, feet and perineal area in response to distant streptococcal or, less commonly, staphylococcal infection.   It is thought to be mediated by toxins, which have been isolated from bacterial strains recovered from affected patients.  It appears to be more common in children and young adults and may be recurrent. 	
MONDO:0959851	phlyctenular keratoconjunctivitis	icd11.foundation:1282614793	MONDO:equivalentTo	Phlyctenular keratoconjunctivitis		
MONDO:0959861	focal chorioretinal inflammation, juxtapapillary	icd11.foundation:1284665924	MONDO:equivalentTo	Focal chorioretinal inflammation, juxtapapillary		
MONDO:0959888	other mitral valve diseases	icd11.foundation:128855412	MONDO:equivalentTo	Other mitral valve diseases		
MONDO:0959909	urothelial carcinoma of unspecified urinary organ	icd11.foundation:1292459358	MONDO:equivalentTo	Urothelial carcinoma of unspecified urinary organ		
