mondo_id	mondo_label	xref	xref_source	original_label	definition	parents
ID	LABEL	A oboInOwl:hasDbXref	>A oboInOwl:source SPLIT=|		A IAO:0000115	SC %
MONDO:0852953	acute poliomyelitis	ICD10WHO:A80	MONDO:equivalentTo	Acute poliomyelitis		ICD10WHO:A80-A89
MONDO:0852954	atypical virus infections of central nervous system	ICD10WHO:A81	MONDO:equivalentTo	Atypical virus infections of central nervous system		ICD10WHO:A80-A89
MONDO:0852955	rabies	ICD10WHO:A82	MONDO:equivalentTo	Rabies		ICD10WHO:A80-A89
MONDO:0852956	mosquito-borne viral encephalitis	ICD10WHO:A83	MONDO:equivalentTo	Mosquito-borne viral encephalitis		ICD10WHO:A80-A89
MONDO:0852957	tick-borne viral encephalitis	ICD10WHO:A84	MONDO:equivalentTo	Tick-borne viral encephalitis		ICD10WHO:A80-A89
MONDO:0852958	other viral encephalitis, not elsewhere classified	ICD10WHO:A85	MONDO:equivalentTo	Other viral encephalitis, not elsewhere classified		ICD10WHO:A80-A89
MONDO:0852959	unspecified viral encephalitis	ICD10WHO:A86	MONDO:equivalentTo	Unspecified viral encephalitis		ICD10WHO:A80-A89
MONDO:0852960	viral meningitis	ICD10WHO:A87	MONDO:equivalentTo	Viral meningitis		ICD10WHO:A80-A89
MONDO:0852961	other viral infections of central nervous system, not elsewhere classified	ICD10WHO:A88	MONDO:equivalentTo	Other viral infections of central nervous system, not elsewhere classified		ICD10WHO:A80-A89
MONDO:0852962	unspecified viral infection of central nervous system	ICD10WHO:A89	MONDO:equivalentTo	Unspecified viral infection of central nervous system		ICD10WHO:A80-A89
MONDO:0852963	benign neoplasm of mouth and pharynx	ICD10WHO:D10	MONDO:equivalentTo	Benign neoplasm of mouth and pharynx		ICD10WHO:D10-D36
MONDO:0852964	benign neoplasm of major salivary glands	ICD10WHO:D11	MONDO:equivalentTo	Benign neoplasm of major salivary glands		ICD10WHO:D10-D36
MONDO:0852965	benign neoplasm of colon, rectum, anus and anal canal	ICD10WHO:D12	MONDO:equivalentTo	Benign neoplasm of colon, rectum, anus and anal canal		ICD10WHO:D10-D36
MONDO:0852966	benign neoplasm of other and ill-defined parts of digestive system	ICD10WHO:D13	MONDO:equivalentTo	Benign neoplasm of other and ill-defined parts of digestive system		ICD10WHO:D10-D36
MONDO:0852967	benign neoplasm of middle ear and respiratory system	ICD10WHO:D14	MONDO:equivalentTo	Benign neoplasm of middle ear and respiratory system		ICD10WHO:D10-D36
MONDO:0852968	benign neoplasm of other and unspecified intrathoracic organs	ICD10WHO:D15	MONDO:equivalentTo	Benign neoplasm of other and unspecified intrathoracic organs		ICD10WHO:D10-D36
MONDO:0852969	benign neoplasm of bone and articular cartilage	ICD10WHO:D16	MONDO:equivalentTo	Benign neoplasm of bone and articular cartilage		ICD10WHO:D10-D36
MONDO:0852970	benign lipomatous neoplasm	ICD10WHO:D17	MONDO:equivalentTo	Benign lipomatous neoplasm		ICD10WHO:D10-D36
MONDO:0852971	haemangioma and lymphangioma, any site	ICD10WHO:D18	MONDO:equivalentTo	Haemangioma and lymphangioma, any site		ICD10WHO:D10-D36
MONDO:0852972	benign neoplasm of mesothelial tissue	ICD10WHO:D19	MONDO:equivalentTo	Benign neoplasm of mesothelial tissue		ICD10WHO:D10-D36
MONDO:0852973	benign neoplasm of soft tissue of retroperitoneum and peritoneum	ICD10WHO:D20	MONDO:equivalentTo	Benign neoplasm of soft tissue of retroperitoneum and peritoneum		ICD10WHO:D10-D36
